File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
./Mae-263_S1_R1_001_val_1_bismark_bt2_pe.bam	169701620	5833232	163400637	467751	0			268152116	1016792	81490635	802235	67692378	3841823	113308253
./Mae-266_S2_R1_001_val_1_bismark_bt2_pe.bam	178544379	5358431	172722669	463279	1			243754042	966676	73524155	766236	61165403	3907904	103423668
./Mae-274_S3_R1_001_val_1_bismark_bt2_pe.bam	140725823	5427587	134931484	366752	3			256815126	681009	77727882	542996	64616174	2784018	110463047
./Mae-278_S4_R1_001_val_1_bismark_bt2_pe.bam	140124175	4393699	135316032	414444	1			198654539	607959	59484251	494043	49501976	3213941	85352369
./Mae-281_S5_R1_001_val_1_bismark_bt2_pe.bam	179941688	5748233	173655710	537745	0			252464625	773294	75775569	617950	62995437	4123228	108179147
./Mae-285_S6_R1_001_val_1_bismark_bt2_pe.bam	146338780	8234368	137530820	573592	2			398150612	1059651	119054361	865169	99362916	4588800	173219715
./Mae-293_S7_R1_001_val_1_bismark_bt2_pe.bam	159521487	6305293	152751203	464991	1			288875909	813442	86796826	649701	72327405	3528395	124760140
./Mae-294_S8_R1_001_val_1_bismark_bt2_pe.bam	189201264	6506898	182419500	274866	5			348234958	880059	104745389	690439	87406784	2485473	152026814
./Mae-295_S9_R1_001_val_1_bismark_bt2_pe.bam	115711873	5826887	109495986	389000	2			260560824	715358	79731486	561485	66060623	2762450	110729422
./Mae-298_S10_R1_001_val_1_bismark_bt2_pe.bam	152848552	4215277	148094606	538669	0			191008759	719305	56351171	610631	46959912	4556360	81811380
./Mae-302_S11_R1_001_val_1_bismark_bt2_pe.bam	115699660	10198021	105067050	434589	0			505005831	1281659	153278539	1014640	127545971	3367775	218517247
./Mae-305_S12_R1_001_val_1_bismark_bt2_pe.bam	143148132	5013212	137687044	447876	0			232854483	676160	68892162	547460	57581370	3658394	101498937
./Mae-310_S13_R1_001_val_1_bismark_bt2_pe.bam	177242659	6929996	169689505	623158	0			314505808	923776	94144766	765435	78432447	4844377	135395007
./Mae-311_S14_R1_001_val_1_bismark_bt2_pe.bam	188942590	8703529	179698224	540837	1			419110759	1137427	127252048	909384	105786946	4104370	179920584
./Mae-317_S15_R1_001_val_1_bismark_bt2_pe.bam	146169521	14081418	131542616	545487	5			702253555	1681678	215260647	1325879	178802512	3816771	301366068
./Mae-322_S16_R1_001_val_1_bismark_bt2_pe.bam	186938958	4804852	181660605	473501	0			216574298	679238	64874024	564197	53974251	3773221	92709367
./Mae-327_S17_R1_001_val_1_bismark_bt2_pe.bam	98757629	5375312	93093040	289277	4			257221135	636948	78249373	504105	65057175	2116322	110657212
./Mae-329_S18_R1_001_val_1_bismark_bt2_pe.bam	141191480	6682976	134154519	353985	0			329618026	800084	99459025	640297	82959387	2822153	142937080
./Mae-330_S19_R1_001_val_1_bismark_bt2_pe.bam	215499588	5834853	208940432	724303	0			254679707	893747	75367365	733637	62761591	5735598	109187769
./Mae-338_S20_R1_001_val_1_bismark_bt2_pe.bam	186686955	6904658	179320573	461724	0			330787239	1029973	100497642	829378	83576550	3700209	141153487
./Mae-342_S21_R1_001_val_1_bismark_bt2_pe.bam	227401747	10267562	216470431	663754	5			487660708	1372733	147639067	1081069	122828165	4825785	209913889
./Mae-343_S22_R1_001_val_1_bismark_bt2_pe.bam	218520722	6100920	211702011	717791	2			265241099	946563	78996566	778897	65697545	5676408	113145120
./Mae-344_S23_R1_001_val_1_bismark_bt2_pe.bam	213507050	8377359	204241330	888361	1			390708498	1293665	116136211	1096754	96739091	7278522	168164255
./Mae-350_S24_R1_001_val_1_bismark_bt2_pe.bam	164928427	7765415	156554637	608375	0			370021582	1032401	112534122	866867	93283235	5212803	157092154
./Mae-352_S25_R1_001_val_1_bismark_bt2_pe.bam	128179039	3579762	124176947	422330	1			156924703	581220	46722552	483925	38845817	3518032	66773157
./Mae-356_S26_R1_001_val_1_bismark_bt2_pe.bam	140750578	5430273	134856756	463549	0			243390829	766183	73808756	613253	61233920	3598256	103370461
./Mae-368_S27_R1_001_val_1_bismark_bt2_pe.bam	132424445	3850558	128185948	387939	0			167321539	533452	50496354	429010	41914885	2938004	71009834
./Mae-371_S28_R1_001_val_1_bismark_bt2_pe.bam	113561431	1940315	111480965	140151	2			88372799	237577	26867704	187893	22314867	999786	37764972
./Mae-378_S29_R1_001_val_1_bismark_bt2_pe.bam	101729615	8373362	93011023	345230	3			410341235	1039620	125954556	810077	104622607	2397273	175517102
./Mae-390_S32_R1_001_val_1_bismark_bt2_pe.bam	217464979	11824303	204867086	773590	2			541779515	1467152	165006785	1169527	137060825	5646327	231428899
./Mae-396_S33_R1_001_val_1_bismark_bt2_pe.bam	112018156	6086806	105566889	364461	2			280535422	802455	85698122	635124	71182649	2689893	119527179
./Mae-399_S34_R1_001_val_1_bismark_bt2_pe.bam	126030477	4308361	121312188	409928	0			185272454	623710	56081439	496422	46536813	3063655	78470415
./Mae-403_S35_R1_001_val_1_bismark_bt2_pe.bam	116280347	8105335	107756431	418581	0			384957248	1147207	118461848	891036	98231226	3126474	163099457
./Mae-405_S36_R1_001_val_1_bismark_bt2_pe.bam	91824032	7023201	84438598	362233	1			324674925	822697	99495410	651034	82570121	2517239	138618424
./Mae-410_S37_R1_001_val_1_bismark_bt2_pe.bam	125610643	21206850	103695566	708227	3			1016414017	2507778	313882197	1953829	260339407	4579857	433150949
./Mae-414_S38_R1_001_val_1_bismark_bt2_pe.bam	106453518	10611386	95346654	495478	0			490934830	1422515	152486596	1109971	126091387	3520765	206303596
./Mae-421_S39_R1_001_val_1_bismark_bt2_pe.bam	126761848	11862312	114215968	683568	3			534104136	1484779	163913491	1178981	135876036	5000231	226650618
./Mae-422_S40_R1_001_val_1_bismark_bt2_pe.bam	96152716	442649	95681187	28880	0			21387967	76435	6544951	63255	5435850	206850	9060626
./Mae-424_S41_R1_001_val_1_bismark_bt2_pe.bam	103676159	1858400	101393619	424140	1			71070822	365101	19988787	337133	16657526	3680591	30041684
./Mae-428_S42_R1_001_val_1_bismark_bt2_pe.bam	114624352	5678430	108634503	311419	0			278700730	826126	84894440	654443	70523078	2462811	119339832
./Mae-432_S43_R1_001_val_1_bismark_bt2_pe.bam	122875100	2296017	120231471	347612	0			99257294	416895	28983784	354932	24169801	2974623	42357259
./Mae-436_S44_R1_001_val_1_bismark_bt2_pe.bam	128536533	1800346	126460913	275274	0			80059187	356434	23277379	310279	19418314	2529574	34167207
./Mae-440_S45_R1_001_val_1_bismark_bt2_pe.bam	115673554	3486736	111858660	328158	1			157752193	593594	47460122	478405	39420026	2659546	67140500
./Mae-441_S46_R1_001_val_1_bismark_bt2_pe.bam	116271588	2452341	113464561	354686	0			104393434	413626	30595633	352217	25473134	2975403	44583421
./Mae-449_S48_R1_001_val_1_bismark_bt2_pe.bam	186412816	7068938	178872087	471791	1			334111337	1087101	101674738	861743	84478169	3824748	142184838
./Mae-454_S49_R1_001_val_1_bismark_bt2_pe.bam	89911641	2901923	86740783	268935	0			126027909	417880	37929864	337334	31500297	2077330	53765204
./Mae-464_S50_R1_001_val_1_bismark_bt2_pe.bam	99533159	12277233	86851858	404068	5			628716769	1625134	191731161	1276145	159565824	2984069	271534436
./Mae-468_S51_R1_001_val_1_bismark_bt2_pe.bam	160559659	6264616	153801883	493160	0			286357411	918386	86593010	748095	71891222	3863038	122343660
./Mae-470_S52_R1_001_val_1_bismark_bt2_pe.bam	114439634	9354318	104705053	380263	3			454896736	1226544	139278307	962346	115658729	2739998	195030812
./Mae-474_S57_R1_001_val_1_bismark_bt2_pe.bam	176725935	4660285	171492325	573325	2			199038997	714358	59345580	594254	49305469	4633529	84445807
./Mae-475_S53_R1_001_val_1_bismark_bt2_pe.bam	129012784	4382234	124268532	362018	0			196658624	611150	59249185	491585	49243497	2789601	84273606
./Mae-477_S54_R1_001_val_1_bismark_bt2_pe.bam	157861614	5470970	151893883	496761	0			245135013	768766	73352992	622431	61027370	3931531	105431923
