"","Loc","scaffold","position","gff_scaffold","scaffold.1","V2","feature_type","start","end","V6","V7","V8","ID","Name","Alias","Note"
"1","ENA|OLKM01000002|OLKM01000002.1 1260215","OLKM01000002.1",1260216,"MeA_20160214_scaffold_1","OLKM01000002.1","maker","gene",1255107,1260735,".","+",".","ID=MEAE_00000395","MEAE_00000395","Alias=maker-MeA_20160214_scaffold_1-snap-gene-3.594","Protein of unknown function"
"1.2","ENA|OLKM01000002|OLKM01000002.1 1260215","OLKM01000002.1",1260216,"MeA_20160214_scaffold_1","OLKM01000002.1","maker","gene",1258985,1261897,".","-",".","ID=MEAE_00000396","MEAE_00000396","Alias=snap_masked-MeA_20160214_scaffold_1-processed-gene-3.443","Protein of unknown function"
"2","ENA|OLKM01000003|OLKM01000003.1 929370","OLKM01000003.1",929371,"MeA_20160214_scaffold_2","OLKM01000003.1","maker","gene",892988,954521,".","+",".","ID=MEAE_00000539","MEAE_00000539","Alias=maker-MeA_20160214_scaffold_2-snap-gene-3.281","Protein of unknown function"
"3","ENA|OLKM01000003|OLKM01000003.1 1305712","OLKM01000003.1",1305713,"MeA_20160214_scaffold_2","OLKM01000003.1","maker","gene",1304217,1309303,".","-",".","ID=MEAE_00000607","MEAE_00000607","Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.250","Protein of unknown function"
"4","ENA|OLKM01000003|OLKM01000003.1 1305733","OLKM01000003.1",1305734,"MeA_20160214_scaffold_2","OLKM01000003.1","maker","gene",1304217,1309303,".","-",".","ID=MEAE_00000607","MEAE_00000607","Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.250","Protein of unknown function"
"5","ENA|OLKM01000003|OLKM01000003.1 1309466","OLKM01000003.1",1309467,"MeA_20160214_scaffold_2","OLKM01000003.1","maker","gene",1309432,1319053,".","-",".","ID=MEAE_00000608","MEAE_00000608","Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.251","Protein of unknown function"
"6","ENA|OLKM01000003|OLKM01000003.1 1318584","OLKM01000003.1",1318585,"MeA_20160214_scaffold_2","OLKM01000003.1","maker","gene",1309432,1319053,".","-",".","ID=MEAE_00000608","MEAE_00000608","Alias=snap_masked-MeA_20160214_scaffold_2-processed-gene-3.251","Protein of unknown function"
"10","ENA|OLKM01000005|OLKM01000005.1 226318","OLKM01000005.1",226319,"MeA_20160214_scaffold_4","OLKM01000005.1","maker","gene",225842,226553,".","+",".","ID=MEAE_00000784","MEAE_00000784","Alias=maker-MeA_20160214_scaffold_4-augustus-gene-0.128","Similar to ZBED5: Zinc finger BED domain-containing protein 5 (Bos taurus)"
"10.4","ENA|OLKM01000005|OLKM01000005.1 226318","OLKM01000005.1",226319,"MeA_20160214_scaffold_4","OLKM01000005.1","maker","gene",226187,236446,".","-",".","ID=MEAE_00000785","MEAE_00000785","Alias=snap_masked-MeA_20160214_scaffold_4-processed-gene-0.114","Protein of unknown function"
"12","ENA|OLKM01000006|OLKM01000006.1 1053909","OLKM01000006.1",1053910,"MeA_20160214_scaffold_5","OLKM01000006.1","maker","gene",1051372,1057068,".","+",".","ID=MEAE_00001117","MEAE_00001117","Alias=maker-MeA_20160214_scaffold_5-snap-gene-2.547","Similar to SH2D7: SH2 domain-containing protein 7 (Homo sapiens)"
