"","sampling_season","Sex","AgeRounded","N"
"1","Fall 2022","F",0.65,4
"2","Fall 2022","M",0.65,8
"3","Fall 2022","F",1.65,15
"4","Fall 2022","M",1.65,22
"5","Fall 2022","F",2.65,18
"6","Fall 2022","M",2.65,19
"7","Fall 2022","F",3.65,4
"8","Fall 2022","M",3.65,3
"9","Fall 2022","F",4.65,6
"10","Fall 2022","M",4.65,2
"11","Fall 2022","F",5.65,2
"12","Fall 2022","M",5.65,1
"13","Fall 2022","F",6.65,10
"14","Fall 2022","M",6.65,4
"15","Fall 2022","F",7.65,4
"16","Fall 2022","M",7.65,2
"17","Fall 2022","F",8.65,1
"18","Fall 2022","F",9.65,18
"19","Fall 2022","M",9.65,17
"20","Fall 2023","F",2.65,11
"21","Fall 2023","M",2.65,4
"22","Fall 2023","F",3.65,23
"23","Fall 2023","M",3.65,12
"24","Fall 2023","F",4.65,2
"25","Fall 2023","M",4.65,1
"26","Fall 2023","F",5.65,5
"27","Fall 2023","M",5.65,6
"28","Fall 2023","F",6.65,8
"29","Fall 2023","M",6.65,2
"30","Fall 2023","F",7.65,1
"31","Fall 2023","M",7.65,6
"32","Fall 2023","F",8.65,4
"33","Fall 2023","F",9.65,2
"34","Fall 2023","M",9.65,1
"35","Fall 2023","F",10.65,9
"36","Fall 2023","M",10.65,8
"37","Fall 2023","F",11.65,1
"38","Fall 2023","M",11.65,1
"39","Spring 2023","F",1.2,2
"40","Spring 2023","M",1.2,2
"41","Spring 2023","F",2.2,12
"42","Spring 2023","M",2.2,7
"43","Spring 2023","F",3.2,19
"44","Spring 2023","M",3.2,14
"45","Spring 2023","F",4.2,1
"46","Spring 2023","M",4.2,3
"47","Spring 2023","F",5.2,5
"48","Spring 2023","M",5.2,2
"49","Spring 2023","F",6.2,1
"50","Spring 2023","F",7.2,7
"51","Spring 2023","M",7.2,2
"52","Spring 2023","F",8.2,1
"53","Spring 2023","F",9.2,1
"54","Spring 2023","F",10.2,22
"55","Spring 2023","M",10.2,10
"56","Spring 2024","F",3.2,20
"57","Spring 2024","M",3.2,15
"58","Spring 2024","F",4.2,36
"59","Spring 2024","M",4.2,17
"60","Spring 2024","F",5.2,6
"61","Spring 2024","M",5.2,1
"62","Spring 2024","F",6.2,4
"63","Spring 2024","M",6.2,5
"64","Spring 2024","F",7.2,3
"65","Spring 2024","M",7.2,4
"66","Spring 2024","F",8.2,4
"67","Spring 2024","M",8.2,1
"68","Spring 2024","F",9.2,2
"69","Spring 2024","M",9.2,2
"70","Spring 2024","F",10.2,2
"71","Spring 2024","F",11.2,10
"72","Spring 2024","M",11.2,13
