Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg	version
Mae-265_S1_R1_001_val_1	3114905.0	64084771.0	102378242.0	1.3	8.3	64.4	1177184132.0	243577289.0	707357016.0	56671909.0	0.24.2
Mae-271_S2_R1_001_val_1	2595216.0	85697638.0	84157980.0	1.3	13.1	63.8	989045845.0	199848830.0	569095179.0	47651002.0	0.24.2
Mae-275_S3_R1_001_val_1	1825221.0	63560795.0	65164417.0	1.2	13.9	64.6	710641838.0	150872129.0	393472687.0	35746589.0	0.24.2
Mae-282_S4_R1_001_val_1	3761005.0	89923279.0	125193597.0	1.3	9.7	65.4	1414986541.0	293681266.0	836058252.0	66369142.0	0.24.2
Mae-284_S5_R1_001_val_1	2363377.0	42229045.0	89371601.0	1.0	6.2	62.4	1049887620.0	224354234.0	637634799.0	53934564.0	0.24.2
Mae-286_S6_R1_001_val_1	2113281.0	61377090.0	82292911.0	1.1	10.4	64.3	912249589.0	193513363.0	527245228.0	45707716.0	0.24.2
Mae-288_S7_R1_001_val_1	2164633.0	67150612.0	78010854.0	1.2	12.5	66.8	831776257.0	176187702.0	469527267.0	38735189.0	0.24.2
Mae-292_S8_R1_001_val_1	1989005.0	54499471.0	72773653.0	1.2	10.6	64.2	800407781.0	170850356.0	459655171.0	40640125.0	0.24.2
Mae-299_S9_R1_001_val_1	1552990.0	47533671.0	61776240.0	1.1	11.2	64.9	664849355.0	142729991.0	377808600.0	33447863.0	0.24.2
Mae-300_S10_R1_001_val_1	2285881.0	69116259.0	88637695.0	1.1	11.0	64.2	979745768.0	208782256.0	561601614.0	49322063.0	0.24.2
Mae-303_S11_R1_001_val_1	2202927.0	72384006.0	77559179.0	1.2	12.8	64.2	870956133.0	182240861.0	493381228.0	43187932.0	0.24.2
Mae-304_S12_R1_001_val_1	2860762.0	76213176.0	111331399.0	1.1	9.8	65.6	1207282240.0	257695017.0	700817738.0	58364148.0	0.24.2
Mae-324_S13_R1_001_val_1	2773936.0	63224080.0	110832613.0	1.1	8.1	65.3	1211783172.0	257640123.0	718423850.0	58888570.0	0.24.2
Mae-325_S14_R1_001_val_1	2448640.0	56032733.0	96223411.0	1.1	8.5	66.7	1029698322.0	220045065.0	606853166.0	48095307.0	0.24.2
Mae-331_S15_R1_001_val_1	2036604.0	52195860.0	73568374.0	1.1	9.1	64.1	867755245.0	177034035.0	521721486.0	41198886.0	0.24.2
Mae-332_S16_R1_001_val_1	3233737.0	92651384.0	117962898.0	1.2	11.1	65.2	1292463995.0	273371327.0	742239122.0	63005527.0	0.24.2
